ID,EnterDate,Position,EnterPrice,EnterSignal,ExitDate,ExitPrice,ExitSignal
1,2018-08-06,Long,7062.9399,Semi-Long,2018-08-07,6958.3198,Semi-Short
2,2018-08-08,Long,6746.8501,Semi-Long,2018-08-09,6305.5601,Short
3,2018-08-10,Long,6571.4199,Semi-Long,2018-08-11,6185.7900,Semi-Short
4,2018-08-12,Long,6283.6499,Semi-Long,2018-08-13,6341.3599,Semi-Short
5,2018-08-14,Long,6287.6602,Semi-Long,2018-08-15,6221.4199,Semi-Short
6,2018-08-16,Long,6294.2300,Semi-Long,2018-08-17,6340.9102,Semi-Short
7,2018-08-18,Long,6583.4302,Semi-Long,2018-08-19,6422.5698,Semi-Short
8,2018-08-20,Long,6500.5098,Semi-Long,2018-08-21,6301.0698,Semi-Short
9,2018-08-22,Long,6486.2500,Semi-Long,2018-08-23,6371.3398,Semi-Short
10,2018-08-24,Long,6551.5200,Semi-Long,2018-08-25,6719.9502,Semi-Short
11,2018-08-26,Long,6754.6401,Semi-Long,2018-08-27,6710.7998,Semi-Short
12,2018-08-28,Long,6891.0801,Semi-Long,2018-08-29,7091.7100,Semi-Short
13,2018-08-30,Long,7043.7598,Semi-Long,2018-09-01,7044.8101,Semi-Short
14,2018-09-02,Long,7189.5801,Semi-Long,2018-09-03,7279.0298,Semi-Short
15,2018-09-04,Long,7263.0000,Semi-Long,2018-09-05,7361.4600,Semi-Short
16,2018-09-06,Long,6755.1401,Semi-Long,2018-09-07,6528.9199,Semi-Short
17,2018-09-08,Long,6460.1699,Semi-Long,2018-09-09,6223.3799,Semi-Short
18,2018-09-10,Long,6301.5698,Semi-Long,2018-09-11,6331.8799,Semi-Short
19,2018-09-12,Long,6317.0098,Semi-Long,2018-09-13,6354.2402,Short
20,2018-09-14,Long,6515.4102,Semi-Long,2018-09-15,6509.3999,Semi-Short
21,2018-09-16,Long,6536.6802,Semi-Long,2018-09-17,6514.0601,Semi-Short
22,2018-09-18,Long,6280.9102,Semi-Long,2018-09-19,6371.8501,Semi-Short
23,2018-09-20,Long,6398.8501,Semi-Long,2018-09-21,6513.8701,Semi-Short
24,2018-09-22,Long,6735.0498,Semi-Long,2018-09-23,6715.3198,Semi-Short
25,2018-09-24,Long,6704.7700,Semi-Long,2018-09-25,6603.6401,Semi-Short
26,2018-09-26,Long,6452.7900,Semi-Long,2018-09-27,6495.2900,Semi-Short
27,2018-09-28,Long,6678.7500,Semi-Long,2018-09-29,6643.1001,Semi-Short
